#name
20-BuenosAires20_RBRP

#numVertices
21

#capacity
20

#d/p/q
     0      0      0      0
     1     20     20     20
     2     20     20     20
     3     20     20     20
     4      7      7      7
     5     -8      0      8
     6     12     12     12
     7    -17      0     17
     8    -19      0     19
     9     -9      0      9
    10     19     19     19
    11     20     20     20
    12    -20      0     20
    13    -18      0     18
    14    -18      0     18
    15    -20      0     20
    16    -19      0     19
    17     -1      0      1
    18     20     20     20
    19     20     20     20
    20    -18      0     18

#distances
            0      1      2      3      4      5      6      7      8      9     10     11     12     13     14     15     16     17     18     19     20 
     0      0   9791   8076   6151   6634   4740   5222   3835   5134   6072   7545   6125   4171   3742   2846   2157   1877   2620   3222  10469   3925 
     1   9815      0   2604   3721   4228   5816   5298   6724   5864   4435   4925   5266   7244   6486   7063   8287   8514   8660   7636   1790  11708 
     2   8206   2495      0   2388   2351   4847   3680   5755   4247   2828   3317   3658   5626   4868   5446   6724   7076   6783   6029   3566  10100 
     3   7855   3719   2319      0   2583   4183   3912   5090   4479   4907   5636   5359   5858   5100   5678   6294   6521   7015   7477   4318  10837 
     4   5847   4526   2829   2248      0   2496   1329   3404   1896   2324   4746   3735   3275   2517   3095   4373   4725   4432   4894   5597   8254 
     5   4460   5555   3761   1836   3417      0   2511   1695   2340   3924   6579   5568   3721   2963   2409   2898   3125   5290   5752   6154   8385 
     6   4851   6299   4505   2580   3663   1168      0   2076   1516   3100   5753   4743   2895   2137   2800   3499   3727   4464   4926   6898   7875 
     7   3373   6801   5007   3082   4226   1672   2250      0   2079   3663   6317   4566   2654   2224   1337   1563   1790   4056   4657   7400   7298 
     8   4538   5174   3871   3290   2147   3159   1991   2316      0   1584   4770   3877   1965   1207   1786   3063   3420   3122   3584   6246   6944 
     9   6811   3719   3034   2726   1724   3462   2295   4369   2860      0   3776   2765   4239   3481   4059   5337   5689   5396   5135   4791   9218 
    10   7670   4960   5878   5570   4495   6291   5123   5467   3909   2844      0   2622   3669   4360   4938   6215   6571   6128   4992   5068   9064 
    11   5721   6180   5495   5187   4185   5923   4756   5665   5123   2461   2092      0   4250   3821   3716   4387   4740   4179   3043   7160   7115 
    12   4068   5987   4683   4102   2960   4664   3496   3859   3317   2398   3871   2451      0   2015   1912   2581   2935   2641   3103   7059   6465 
    13   3753   6566   5263   4151   3539   2739   1571   1934   1392   2976   4501   3082   1170      0   1366   2268   2620   2327   2789   7638   6151 
    14   2752   7793   6487   4563   4226   3151   2947   2247   2768   4204   5137   3718   1806   1376      0   1508   1862   3523   4125   8865   6677 
    15   2017   7927   6133   4208   4915   2797   3376   1893   3206   4790   5826   4407   2495   2065    689      0   1139   2789   3391   8526   5942 
    16   1745   8492   6698   4773   5715   3362   3941   2194   3772   5356   6626   5206   3253   2823   1526    837      0   2427   3029   9091   5670 
    17   3525   7392   6088   5532   4365   4120   2952   3317   2775   3803   5275   3856   1902   1473   1368   2037   2392      0   1608   8464   4968 
    18   2678   8526   7223   6668   5499   5256   4088   4451   3909   4938   6410   4991   3037   2607   2504   3173   3528   1136      0   9598   5039 
    19  10670   1790   3328   4445   5078   6540   6370   7448   6936   5507   5996   6338   8316   7558   8135   8653   9238   9510   8708      0  12780 
    20   3771  11608  10305   9724   8581   8509   7596   7606   7418   8019   9492   8073   6545   6116   6013   5926   5646   4645   5068  12680      0 
