#name
24-SanAntonio30_RBRP

#numVertices
23

#capacity
30

#d/p/q
     0      0      0      0
     1      1      1      1
     2      2      2      2
     3      3      3      3
     4      3      3      3
     5     -4      0      4
     6     -1      0      1
     7      3      3      3
     8     -1      0      1
     9     -3      0      3
    10     -4      0      4
    11      1      1      1
    12      5      5      5
    13      1      1      1
    14      4      4      4
    15      6      6      6
    16      4      4      4
    17      2      2      2
    18      3      3      3
    19     -4      0      4
    20      8      8      8
    21      4      4      4
    22      7      7      7

#distances
            0      1      2      3      4      5      6      7      8      9     10     11     12     13     14     15     16     17     18     19     20     21     22 
     0      0   1246   1305   2337   2372   2660   3201   3286   3527   3751   3853   4377   3021   3174   3288   4284   4105   3512   3732   3881   4288   4695   4475 
     1   1246      0    501   1728   2009   1967   2507   2757   2998   3222   3731   3848   2327   2480   2594   3590   3412   2818   3204   3187   3594   4001   3946 
     2   1595    501      0   1656   1691   1716   2256   2606   2847   3071   3320   3697   2076   2229   2343   3339   3161   2567   3000   2936   3343   3750   3795 
     3   2993   2422   1928      0    747   1630   2171   1215   1456   1717   2150   2343   1957   2110   2700   3160   2979   2387   2218   2396   2911   3317   2404 
     4   2472   1675   1445    330      0   1138   1751   1279   1520   1745   2253   2371   1466   1619   2208   2668   2488   1896   1727   1904   2419   2825   2468 
     5   2660   1823   1716   1056    726      0    744    993   1234   1458   1967   2084    563    716   1070   1826   1648   1054   1440   1423   1830   2237   2182 
     6   2758   1921   1814   1152    822     98      0   1091   1332   1556   2065   2182    661    814   1141   1924   1746   1152   1538   1521   1928   2335   2280 
     7   3571   2541   2433   1429   1099    921   1131      0    241    555    997   1181    848   1001   1991   2010   1829   1237   1068   1245   1760   2111   1189 
     8   3812   2782   2674   1670   1340   1162   1225    241      0    796    756   1422    942   1094   2232   1769   1588    996    827   1004   1519   1836    948 
     9   3922   3241   2857   1926   1597   1418   2030   1047   1140      0    509    626   1747   1900   2488   2824   2646   2052   1885   2063   2578   2672   1806 
    10   4109   3079   2971   1967   1637   1458   1521    538    631    420      0   1046   1238   1391   2528   2400   2219   1627   1458   1635   2150   2293   1405 
    11   4450   3420   3312   2308   1978   1799   1862    879    972    761    341      0   1579   1732   2869   2657   2478   1885   1717   1896   2411   2504   1638 
    12   3840   3003   2895   2137   1809   1180   1082   1616   1857   2081   2589   2707      0   1156   1352   2076   1696   1494   1927   1862   2269   2676   2729 
    13   3407   2570   2462   1706   1376    747    649    978    737   1533   1493   2159    365      0   1717   1110    932    338    771    707   1114   1521   1574 
    14   2871   1951   1870   2464   2136   1506   1408   1943   2184   2408   2916   3034   1329   1482      0   2592   2414   1820   2253   2189   2596   3003   3056 
    15   3848   3011   2903   2146   1817   1188   1090   1624   1227   2023   1983   2326    805   1164   2157      0    916    274    755    731   1098   1505   1558 
    16   4248   3411   3304   2546   2217   1588   1490   2024   1627   2423   2383   2726   1205   1564   1582    623      0    674   1151    850   1257   1664   1957 
    17   3574   2737   2630   1872   1543    914    816   1194    953   1749   1709   2234    531    890   1883   1001    822      0    661    596   1004   1411   1465 
    18   3743   2906   2799   2041   1712   1083    985   1363   1122   1918   1878   2221    700   1059   2052    942    761    169      0    536    943   1350   1452 
    19   3994   3085   3050   1973   1643   1334   1236   1245   1004   1800   1760   2099    951   1310   2303   1242   1062    420    301      0    515    921   1329 
    20   4401   3564   3457   2488   2158   1741   1643   1760   1519   2315   2275   2614   1360   1717   2712   1601   1423    829    816    515      0    407    876 
    21   4808   3971   3864   2895   2565   2148   2050   2113   1899   2465   2425   2430   1767   2124   3119   2007   1828   1236   1223    922    407      0    888 
    22   4796   3766   3658   2654   2324   2145   2123   1225   1011   1577   1537   1851   1838   2105   3190   2079   1899   1307   1138   1316    877    888      0 
